id,node_id,position
4931115,4077412299,7
13278981,122560094,5
13278992,122560170,25
13278999,122560234,20
13279007,122560259,2
13279018,122560366,10
13279022,122560381,1
13279025,122560401,3
13279038,122560524,5
13279051,122560623,9
13279069,122560755,2
13279072,122560769,2
13279074,122560780,2
13279113,353764680,4
13279160,296096017,11
13279184,122561769,2
13279186,122561778,2
13279187,122561794,2
13279189,122561811,2
13279191,122561827,2
13279227,122562226,5
13279253,3537289994,15
13279255,122562687,6
13279267,560650409,2
13279304,122563079,1
13279309,122563102,2
13279325,122563205,1
13279327,1514728555,3
13279345,122563373,7
13279347,122563395,2
13279362,122563498,2
13279364,122563509,1
13279369,122563537,6
13279380,122563697,45
13279500,122564724,189
13279514,122564852,2
13279638,122565732,4
13279643,122565783,2
13279647,122565805,1
13279676,122777090,3
13279691,122566304,2
13279695,122566340,1
13279702,122566403,4
13279708,122566366,16
13279711,122566470,2
13279768,122566919,1
13279770,122566933,3
13279771,122566949,3
13279773,122566945,1
13279806,122567384,1
13279852,123084708,142
13279864,3618591123,3
13279885,2938358153,4
13279895,122568196,11
13279904,122568224,2
13279909,122568142,15
13279913,122568264,7
13279935,786719677,1
13279938,786718979,2
13279942,677280662,2
13279951,122568457,2
13279953,122568468,2
13279954,122568481,2
13280074,560650306,3
13280089,122569319,1
13280102,122569405,1
13280137,122569564,1
13280146,122569610,12
13280175,122569796,5
13280179,122569815,1
13280208,122570117,5
13280212,122570140,13
13280220,122570197,1
13280326,122570961,1
13280353,557891926,5
13280391,786719832,1
13280424,122572312,2
13280425,122572328,1
13280429,122572343,2
13280435,122572382,6
13280439,122572408,8
13280447,122564687,11
13280455,122572571,5
13280461,122572640,17
13280462,122572665,5
13280464,122572676,1
13280519,122573091,1
13280520,122573102,1
13280551,122573322,1
13280574,122573571,1
13280596,122573822,1
13280602,2938358125,6
13280603,296103412,1
13280606,296103870,18
13280612,1888820533,3
13280636,4362193353,30
13280648,122574301,3
13280651,122574305,2
13280652,122574314,1
13280653,122574327,3
13280725,122574809,2
13280780,122575240,1
13280782,122575246,3
13280846,122575629,5
13280855,122575647,7
13280857,553983199,6
13280868,122574156,51
13280877,122575852,20
13280882,122575882,2
13280884,122575892,1
13280887,353376054,9
13280889,122572374,2
13280896,122575938,2
13280900,122575960,1
13280951,122576369,27
13281021,4376365930,25
13281028,122576904,1
13281108,122577677,3
13281160,122578153,8
13281164,122572340,5
13281166,122578173,2
13281169,122578185,2
13281182,122578256,3
13281188,4441602794,3
13281208,122578364,17
13281227,122578544,16
13281244,122578739,1
13281278,122578946,2
13281329,296105456,12
13281341,122579568,24
13281346,1888820521,10
13281377,122579870,1
13281380,122579882,1
13281381,122579888,1
13281383,122579900,4
13281384,122579915,6
13281387,122579943,10
13281453,122580567,1
13281454,122580582,1
13281465,122580768,7
13281505,4177292202,3
13281537,1831647671,1
13281561,122581959,4
13281562,122581991,7
13281564,122582007,4
13281570,122582035,17
13281672,122582894,1
13281805,122583871,1
13281842,122584085,8
13281843,122584095,1
13281887,122584338,1
13281891,122584407,22
13281901,1834847670,4
13281905,1955727152,18
13281966,122585010,10
13281981,122585158,4
13281983,122585171,4
13281991,122585258,5
13282114,122585952,3
13282143,122586103,5
13282146,122586114,1
13282179,3873383380,144
13282185,122586377,4
13282188,122586385,1
13282220,353185383,2
13282255,122586879,1
13282287,122587096,7
13282289,122587104,2
13282293,1831663982,3
13282324,122587387,1
13282368,122587761,3
13282370,122587766,4
13282484,122584346,4
13282563,4073615027,2
13282587,122589455,10
13282667,122579896,2
13282669,122590307,2
13282671,122590313,4
13282694,786720041,5
13282715,122590576,3
13282739,122590727,14
13282752,122590843,10
13282754,122590860,2
13282829,123107869,5
13282844,2251477737,5
13282851,122591359,13
13282853,122591366,1
13282864,122591412,2
13282915,122591840,1
13282969,122592175,5
13283004,122592471,4
13283024,122592651,1
13283077,3449652399,2
13283083,122593108,1
13283084,122593117,1
13283085,122593135,3
13283120,122593314,2
13283130,122593433,9
13283133,122593453,5
13283140,122593523,65
13283202,122594690,2
13283214,122594951,1
13283219,122595046,1
13283225,122595105,2
13283227,122595111,2
13283229,122595121,2
13283255,122595338,8
13283279,122595583,1
13283287,122595623,1
13283319,122595849,2
13283392,1834972614,4
13283412,122596478,1
13283420,122596518,1
13283441,2011707669,35
13283455,353373358,3
13283459,122596902,4
13283461,122596899,1
13283464,786718855,1
13283474,122596982,1
13283543,800141179,8
13283583,122597697,4
13283592,122597715,3
13283597,122597712,1
13283599,122597731,1
13283606,353385398,1
13283621,122597774,4
13283625,122597782,1
13283635,122597829,8
13283639,122597844,6
13283866,122598513,2
13283870,786719999,3
13283936,122598737,3
13283939,122598735,6
13283943,122598749,1
13283945,122598763,1
13283955,122598800,1
13283961,122598816,1
13283968,122598854,2
13283971,122598868,1
13284014,122598976,1
13284018,122598979,1
13284106,122599201,1
13284126,3618304398,39
13284163,555937405,11
13284168,2935971743,7
13284232,122599704,2
13284235,122599715,2
13284237,122599727,2
13284239,122599737,1
13284247,762672900,1
13284254,762672849,1
13284317,122584993,9
13284319,122600114,3
13284323,122600128,3
13284331,4073617959,2
13284343,122600222,4
13284435,122600687,5
13284448,122600703,5
13284518,122600989,1
13284551,122601224,1
13284569,122601284,3
13284572,122601291,2
13284576,122601301,2
13284676,353372813,5
13284709,354498568,2
13284802,122602056,1
13284805,122602067,6
13284808,122602062,2
13284810,122602087,2
13284814,122602100,1
13284819,122602122,1
13284827,122602146,1
13284828,122602149,1
13284859,122602240,1
13284891,122602347,1
13284893,122602354,1
13284950,4850703875,9
13284952,296093611,36
13284964,296107284,4
13284985,122602801,1
13284986,122602808,2
13284988,122602816,3
13284989,122602826,2
13284992,1840722896,5
13285003,122602930,1
13285066,122603180,12
13285091,122603231,7
13285112,122600132,1
13285117,122603299,3
13285121,122600125,1
13285165,122603462,3
13285276,4386175368,1
13285291,122603919,1
13285293,122603933,2
13285299,122603945,2
13285303,122603953,16
13285367,122604165,3
13285372,122604162,4
13285422,122604334,2
13285426,3522443930,2
13285429,122604430,1
13285440,122604502,1
13285468,122601991,3
13285477,122604724,1
13285480,122604730,1
13285481,122604740,1
13285483,122604748,1
13285504,122604934,3
13285505,122604941,6
13285507,122604957,4
13285523,122605047,3
13285527,566546905,5
13285582,786720008,3
13285585,122605521,4
13285588,122605529,1
13285604,122605631,3
13285605,122605651,1
13285635,122605800,1
13285650,122605851,2
13285652,122605872,4
13285654,122575811,5
13285668,122605957,2
13285760,122606442,1
13285789,4403845324,2
13285891,122606862,1
13285900,122607014,274
13286010,122607284,1
13286013,122607296,2
13286036,4073616903,2
13286041,122607389,1
13286064,122607596,3
13286081,122607638,1
13286085,122607596,1
13286113,122607712,1
13286146,122607800,1
13286150,122607812,2
13286156,122607825,2
13286164,122607868,2
13286192,122607984,11
13286195,122607992,1
13286201,122608012,7
13286314,122608482,1
13286318,122608488,1
13286322,122608508,1
13286332,3707512822,115
13286352,778707881,6
13286360,122608638,8
13286362,122608645,1
13286478,122609044,2
13286480,338500046,1
13286482,122609061,1
13286494,3241522426,24
13286500,3588349926,6
13286525,122575862,11
13286536,122609280,1
13286539,122609284,1
13286558,122609316,8
13286602,122609806,1
13286604,122609834,3
13286608,122609868,4
13286615,122609966,8
13286616,122609963,4
13286618,122609995,11
13286631,122610069,11
13286635,122610139,1
13286641,122575623,1
13286643,122610176,1
13286651,122610272,1
13286667,813641640,5
13286683,1822415661,16
13286699,122606942,92
13286745,122610826,1
13286752,296094934,32
13286786,567803905,7
13286787,122607705,2
13286790,567803901,3
13286822,122606540,2
13286823,122611396,1
13286858,4533164632,32
13286861,122611611,2
13286864,122611609,2
13286882,122567908,97
13286892,122611759,9
13286898,122608621,1
13286960,122612222,6
13286963,122612251,4
13286966,122612265,4
13286990,122612359,1
13286996,122612372,2
13287000,122612382,1
13287001,122612387,1
13287007,122612404,1
13287009,122612429,4
13287014,122612454,4
13287031,122612589,4
13287033,3590506913,5
13287035,122612605,2
13287042,122612603,2
13287044,122612633,2
13287048,122612657,1
13287060,122612710,1
13287072,122612793,7
13287075,122612798,1
13287086,122612916,6
13287131,567803911,3
13287134,122613135,4
13287136,122613141,2
13287138,122613151,1
13287147,122613220,1
13287158,122613292,1
13287195,3532246333,1
13287197,122613502,2
13287227,122613761,1
13287290,122614198,2
13287311,122614415,30
13287315,122614465,1
13287316,122614473,1
